,Legislator name,Legislative Effectiveness Score,Gender Estimates,Predicted Gender,Ethnicity Estimates,Predicted Ethnicity, bc, ec, cc, dc
21,Thom Tillis,0.7373980283737183,"{'male': 0.14601723478857132, 'female': 0.0002696280685490327}",male,"{'black': 1.4471779170184245e-05, 'hispanic': 0.0007976627210886476, 'white': 0.99841529752272, 'asian': 0.0007725679770214627}",white,0.002456774569531725,0.23336882645462345,0.7089138445341288,0.624390243902439
22,Joni Ernst,0.7227510213851929,"{'male': 0.705488191856493, 'female': 0.0004758224862488467}",male,"{'black': 0.00013518482161131192, 'hispanic': 0.003752633065506238, 'white': 0.9886368666598646, 'asian': 0.007475315453018049}",white,0.0029891266576032006,2.242627343930017e-12,0.31869918699186994,0.8951219512195122
23,Mike Rounds,0.4855540096759796,"{'male': 0.9344810727086972, 'female': 6.813902967417378e-05}",male,"{'black': 1.9777931027690043e-05, 'hispanic': 0.0014386733157182477, 'white': 0.9955146932725977, 'asian': 0.003026855480656261}",white,,,,
24,Brian E. Schatz,0.8039230108261108,"{'male': 0.0009839959737484797, 'female': 4.5630388234390744e-05}",male,"{'black': 7.060636730330297e-06, 'hispanic': 0.0006665318601698283, 'white': 0.9981767517448522, 'asian': 0.001149655758247779}",white,,,,
25,Johnny Isaksonman,0.3915599882602691,"{'male': 0.0018660358346044032, 'female': 0.00017509427221975554}",male,"{'black': 0.00011093361625505994, 'hispanic': 0.07178461385553683, 'white': 0.627356296802992, 'asian': 0.30074815572521624}",white,,,,
26,Pat Roberts,1.3546299934387207,"{'male': 0.0004994570523256295, 'female': 3.878047109316214e-05}",male,"{'black': 1.11532678947828e-05, 'hispanic': 0.0017247565818713012, 'white': 0.9963232666572222, 'asian': 0.0019408234930118622}",white,0.0024271556584178977,0.2097527493256967,0.7016056546969763,0.6
27,Cory Booker,0.9934759736061096,"{'male': 0.1179830437948592, 'female': 0.00021395394708162096}",male,"{'black': 2.0682638820832058e-05, 'hispanic': 0.005625690545069508, 'white': 0.9874380072503842, 'asian': 0.0069156195657249465}",white,0.003487578020660873,7.1032372004609e-08,0.5382674516400336,0.8829268292682927
28,Edward J. Markey,0.7802820205688477,"{'male': 0.988834054427926, 'female': 0.00015116892222011966}",male,"{'black': 3.68637166584622e-05, 'hispanic': 0.0021115827570098787, 'white': 0.9929990712840487, 'asian': 0.004852482242282825}",white,,,,
29,Maria Cantwell,1.0885900259017944,"{'male': 0.001048945980497882, 'female': 0.0004666736622885543}",male,"{'black': 1.0928256787676854e-05, 'hispanic': 0.009152579639901483, 'white': 0.9901027727291261, 'asian': 0.0007337193741845435}",white,0.0029017104815663958,0.0005302334314014275,0.6517589670014347,0.7439024390243902
30,Jacky Rosen,0.7565169930458069,"{'male': 0.002664276072664351, 'female': 0.0006780719928317324}",male,"{'black': 1.427546791848435e-05, 'hispanic': 0.006147076216778398, 'white': 0.699620176629227, 'asian': 0.29421847168607584}",white,0.003574352236809904,5.265389458053228e-12,0.3402827404070219,0.9073170731707317
31,Mitt Romney,0.4144819974899292,"{'male': 0.0007944683124301368, 'female': 8.293101868352627e-05}",male,"{'black': 9.996335804590629e-06, 'hispanic': 0.003782931590767198, 'white': 0.994698207860395, 'asian': 0.0015088642130334712}",white,0.0035032337283761434,1.6677656685432193e-07,0.5576570858645389,0.8829268292682927
32,Tim Scott,1.0043549537658691,"{'male': 0.11790359814173074, 'female': 0.00021608086633971915}",male,"{'black': 1.5984786984670073e-05, 'hispanic': 0.0005645101581446982, 'white': 0.9986883368831461, 'asian': 0.0007311681717243885}",white,0.0039074473745499775,2.0644463101927575e-07,0.5583847047261681,0.9048780487804878
33,Rand Paul,0.6131629943847656,"{'male': 0.9897161834909396, 'female': 1.1982127697835055e-05}",male,"{'black': 4.0047791819231e-05, 'hispanic': 0.003048865642502812, 'white': 0.9329938402649991, 'asian': 0.06391724630067856}",white,0.0030043357169420447,4.3515682303867474e-16,0.13902439024390245,0.7804878048780488
34,Debbie Stabenow,0.1169300004839897,"{'male': 0.0006929417752585104, 'female': 5.2867771140290194e-05}",male,"{'black': 0.007929619937368564, 'hispanic': 0.0006885043942749555, 'white': 0.9905039377772518, 'asian': 0.0008779378911049446}",white,0.0033872425496931534,5.814932457952462e-16,0.14634146341463414,0.9536585365853658
35,Sherrod Brown,0.909487009048462,"{'male': 0.0002978272850918974, 'female': 7.471265594556838e-05}",male,"{'black': 1.1141078977874798e-05, 'hispanic': 0.0012952781755133226, 'white': 0.9977946710793527, 'asian': 0.0008989096661557047}",white,0.002736750418779207,1.6283570397062046e-12,0.3051869918699187,0.8
36,Tina Smith,0.9738680124282836,"{'male': 0.00021589803867787057, 'female': 0.00016355151248923704}",male,"{'black': 3.0492745893405016e-05, 'hispanic': 0.0008732105834596386, 'white': 0.9982524458561008, 'asian': 0.0008438508145457444}",white,0.0033616645091778803,5.066534361325949e-16,0.14390243902439023,0.9609756097560975
37,Michael Bennet,0.2699640095233917,"{'male': 0.020754007609334192, 'female': 0.00030174385714708745}",male,"{'black': 5.01984490449504e-05, 'hispanic': 0.002840882778534634, 'white': 0.9871374784501068, 'asian': 0.009971440322313776}",white,0.003304388980137899,6.384346130778617e-08,0.5277254249815225,0.8585365853658536
