,Legislator name,Connections,Legislator name,Legislative Effectiveness Score,party
76,Lamar Alexander,67,Lamar Alexander,0.3107529878616333,R
77,Kamala D. Harris,72,Kamala Harris,0.5119389891624451,D
78,Rob Portman,80,Rob Portman,1.647953987121582,R
79,Dianne Feinstein,87,Dianne Feinstein,1.1146390438079834,D
80,Christopher S. Murphy,73,Christopher Murphy,0.25918298959732056,D
81,Jeff Merkley,91,Jeff Merkley,2.418256998062134,D
82,Richard Shelbyman,30,Richard Shelby,0.09567800164222717,R
83,Lindsey Graham,71,Lindsey Graham,1.9787240028381348,R
84,Susan Collins,70,Susan Collins,1.3333159685134888,R
85,Johnny Isakson,70,Johnny Isakson,0.39155998826026917,R
86,Lamar Alexanderman,22,Lamar Alexander,0.3107529878616333,R
87,Sheldon Whitehouse,88,Sheldon Whitehouse,0.6481670141220093,D
88,John Barrassoman,20,John Barrasso,1.468714952468872,R
89,John Cornyn,66,John Cornyn,2.79012393951416,R
90,Mike Crapo,77,Mike Crapo,0.26507899165153503,R
91,Chuck Grassleyman,36,Chuck Grassley,2.2142789363861084,R
92,Lindsey Grahamman,21,Lindsey Graham,1.9787240028381348,R
93,Eliot Engel,100,Eliot Engel,3.336190700531006,D
94,Ilhan Omar,125,Ilhan Omar,0.3280244767665863,D
95,Dean Phillips,115,Dean Phillips,1.7179830074310303,D
96,Brad Sherman,143,Brad Sherman,1.7466120719909668,D
97,Albio Sires,111,Albio Sires,0.31677141785621643,D
98,Colin Allred,138,Colin Allred,0.1708884835243225,D
99,Abigail Spanberger,92,Abigail Spanberger,0.9504339098930359,D
100,Dina Titus,141,Dina Titus,1.7385780811309814,D
101,David Trone,113,David Trone,1.087242603302002,D
102,Juan Vargas,106,Juan Vargas,0.9062404036521912,D
103,Susan Wild,103,Susan Wild,0.4976000487804413,D
104,Gregory W. Meeks,106,Gregory Meeks,1.4343359470367432,D
105,Karen Bass,86,Karen Bass,2.2914934158325195,D
106,Ami Bera,83,Ami Bera,0.9858531951904297,D
107,Joaquin Castro,115,Joaquin Castro,1.187753438949585,D
108,David N. Cicilline,86,David Cicilline,3.1578094959259033,D
109,Jim Costa,132,Jim Costa,0.05964081361889839,D
110,Theodore E. Deutch,95,Theodore E. Deutch,2.8280396461486816,D
111,Tom Malinowski,111,Tom Malinowski,1.759255051612854,D
112,Adriano Espaillat,134,Adriano Espaillat,1.3188122510910034,D
113,Vicente Gonzalez Jr.,106,Vicente Gonzalez,0.30320775508880615,D
114,Chrissy Houlahan,125,Chrissy Houlahan,0.21868298947811127,D
115,Andy Levin,94,Andy Levin,0.6703947186470032,D
